epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall
1,0.093,0.0693,0.2813,0.632,0.1761,0.4668,0.5485,0.7823
2,0.0556,0.0412,0.6917,0.7343,0.5391,0.5876,0.9162,0.6251
3,0.0444,0.0389,0.7457,0.7985,0.6034,0.6726,0.8395,0.7708
4,0.0365,0.0329,0.7883,0.8211,0.6572,0.7015,0.8861,0.7717
5,0.0326,0.0295,0.7998,0.8295,0.6739,0.7168,0.9027,0.7817
6,0.0305,0.0255,0.8004,0.8416,0.6765,0.7338,0.9173,0.7857
7,0.0273,0.0234,0.8137,0.8489,0.6925,0.7441,0.9282,0.7855
8,0.0233,0.0249,0.856,0.8358,0.7532,0.7275,0.895,0.7983
9,0.0213,0.0184,0.8666,0.8789,0.7677,0.7916,0.9111,0.8555
10,0.0205,0.0231,0.8693,0.8428,0.7756,0.7381,0.9135,0.7934
11,0.0195,0.0187,0.8672,0.8615,0.7703,0.7669,0.922,0.8202
12,0.0188,0.0189,0.8782,0.8584,0.7897,0.7598,0.8943,0.8341
13,0.0174,0.0189,0.8766,0.8511,0.785,0.75,0.9165,0.7999
14,0.0166,0.0175,0.8762,0.8736,0.7838,0.7839,0.8564,0.8947
15,0.0148,0.0144,0.8966,0.8902,0.8161,0.8105,0.9256,0.863
16,0.0147,0.017,0.8956,0.8662,0.816,0.7739,0.9349,0.8169
17,0.0141,0.0155,0.8917,0.8783,0.8076,0.7966,0.8845,0.8767
18,0.0132,0.0147,0.9015,0.8832,0.8243,0.8,0.9249,0.8511
19,0.0128,0.0118,0.9076,0.8994,0.833,0.8242,0.8934,0.908
20,0.0113,0.0134,0.911,0.8825,0.8387,0.7968,0.9115,0.8671
21,0.0109,0.0183,0.9165,0.8254,0.8481,0.7207,0.8266,0.8293
22,0.0134,0.0123,0.8859,0.8821,0.7996,0.8019,0.8588,0.9157
23,0.0108,0.0125,0.9112,0.8688,0.8397,0.7835,0.8497,0.9028
24,0.0101,0.0153,0.9153,0.8842,0.8466,0.7993,0.9311,0.8503
25,0.0102,0.0111,0.9124,0.8966,0.842,0.8149,0.9115,0.8882
26,0.009,0.0113,0.9276,0.8836,0.8663,0.8029,0.9093,0.8641
27,0.0083,0.0119,0.9332,0.8997,0.8767,0.8223,0.9303,0.8772
28,0.0082,0.0119,0.9329,0.907,0.8757,0.8349,0.9415,0.8786
29,0.0077,0.0103,0.9405,0.9164,0.889,0.849,0.9436,0.8926
30,0.0081,0.0093,0.9356,0.9137,0.881,0.8436,0.9178,0.9124
31,0.0077,0.013,0.9387,0.8993,0.8851,0.8238,0.9476,0.8619
32,0.0078,0.0125,0.9395,0.872,0.8869,0.7825,0.8634,0.8905
33,0.0071,0.0115,0.9441,0.8838,0.8951,0.8017,0.9086,0.8697
34,0.0071,0.0149,0.9442,0.8812,0.895,0.7976,0.9636,0.8208
35,0.0067,0.009,0.9454,0.9219,0.8971,0.8579,0.9496,0.8977
36,0.0067,0.0098,0.9458,0.9196,0.8977,0.8537,0.9324,0.9092
37,0.0069,0.0092,0.9416,0.9235,0.8904,0.8609,0.9419,0.9084
38,0.0071,0.0092,0.941,0.9096,0.8895,0.8392,0.9435,0.8833
39,0.0077,0.0087,0.9352,0.91,0.8799,0.8391,0.9374,0.8879
40,0.0062,0.0117,0.9478,0.8878,0.9013,0.806,0.9383,0.8489
41,0.0062,0.0091,0.9475,0.9177,0.901,0.852,0.9421,0.8962
42,0.0061,0.0088,0.947,0.9142,0.8998,0.846,0.9441,0.8881
43,0.0057,0.0079,0.9525,0.9237,0.9096,0.8608,0.9384,0.9111
44,0.006,0.0092,0.9482,0.9195,0.9021,0.8534,0.936,0.9055
45,0.0061,0.0087,0.9445,0.9234,0.8954,0.8609,0.9407,0.9094
46,0.0061,0.0099,0.9462,0.911,0.8986,0.8407,0.9587,0.8711
47,0.0055,0.0088,0.9523,0.9192,0.9096,0.854,0.9432,0.8993
48,0.0057,0.0095,0.9505,0.9108,0.9063,0.8398,0.9098,0.9148
49,0.0056,0.0142,0.951,0.8926,0.9071,0.8128,0.9592,0.84
50,0.0054,0.0115,0.9525,0.9037,0.9096,0.8291,0.9446,0.8692
